ship direction [deg],ship speed [m/s],wind direction [deg],wind speed [m/s]
90,10,315,5
105,10,315,5
120,10,315,5
135,10,315,5
150,10,315,5
165,10,315,5
180,10,315,5
195,10,315,5
210,10,315,5
225,10,315,5
240,10,315,5
255,10,315,5
270,10,315,5
285,10,315,5
300,10,315,5
315,10,315,5
330,10,315,5
345,10,315,5
360,10,315,5
0,15,315,5
15,15,315,5
30,15,315,5
45,15,315,5
60,15,315,5
75,15,315,5
90,15,315,5
105,15,315,5
120,15,315,5
135,15,315,5
150,15,315,5
165,15,315,5
180,15,315,5
195,15,315,5
210,15,315,5
225,15,315,5
240,15,315,5
255,15,315,5
270,15,315,5
285,15,315,5
300,15,315,5
315,15,315,5
330,15,315,5
345,15,315,5
360,15,315,5
0,0,320,3
0,0,330,3
0,0,340,3
0,0,350,3
0,0,360,3
0,0,0,6
0,0,10,6
0,0,20,6
0,0,30,6
0,0,40,6
0,0,50,6
0,0,60,6
0,0,70,6
0,0,80,6
0,0,90,6
0,0,100,6
0,0,110,6
0,0,120,6
0,0,130,6
0,0,140,6
0,0,150,6
0,0,160,6
0,0,170,6
0,0,180,6
0,0,190,6
0,0,200,6
0,0,210,6
0,0,220,6
0,0,230,6
0,0,240,6
0,0,250,6
0,0,260,6
0,0,270,6
0,0,280,6
0,0,290,6
0,0,300,6
0,0,310,6
0,0,320,6
0,0,330,6
0,0,340,6
0,0,350,6
0,0,360,6
0,0,0,9
0,0,10,9
0,0,20,9
0,0,30,9
0,0,40,9
0,0,50,9
0,0,60,9
0,0,70,9
0,0,80,9
0,0,90,9
0,0,100,9
0,0,110,9
0,0,120,9
0,0,130,9
0,0,140,9
0,0,150,9
0,0,160,9
0,0,170,9
0,0,180,9
0,0,190,9
0,0,200,9
0,0,210,9
0,0,220,9
0,0,230,9
0,0,240,9
0,0,250,9
0,0,260,9
0,0,270,9
0,0,280,9
0,0,290,9
0,0,300,9
0,0,310,9
0,0,320,9
0,0,330,9
0,0,340,9
0,0,350,9
0,0,360,9
0,0,0,12
0,0,10,12
0,0,20,12
0,0,30,12
0,0,40,12
0,0,50,12
0,0,60,12
0,0,70,12
0,0,80,12
0,0,90,12
0,0,100,12
0,0,110,12
0,0,120,12
0,0,130,12
0,0,140,12
0,0,150,12
0,0,160,12
0,0,170,12
0,0,180,12
0,0,190,12
0,0,200,12
0,0,210,12
0,0,220,12
0,0,230,12
0,0,240,12
0,0,250,12
0,0,260,12
0,0,270,12
0,0,280,12
0,0,290,12
0,0,300,12
0,0,310,12
0,0,320,12
0,0,330,12
0,0,340,12
0,0,350,12
0,0,360,12
0,0,0,15
0,0,10,15
0,0,20,15
0,0,30,15
0,0,40,15
0,0,50,15
0,0,60,15
0,0,70,15
0,0,80,15
0,0,90,15
0,0,100,15
0,0,110,15
0,0,120,15
0,0,130,15
0,0,140,15
0,0,150,15
0,0,160,15
0,0,170,15
0,0,180,15
0,0,190,15
0,0,200,15
0,0,210,15
0,0,220,15
0,0,230,15
0,0,240,15
0,0,250,15
0,0,260,15
0,0,270,15
0,0,280,15
0,0,290,15
0,0,300,15
0,0,310,15
0,0,320,15
0,0,330,15
0,0,340,15
0,0,350,15
0,0,360,15
10,0,0,0
20,0,0,0
30,0,0,0
40,0,0,0
50,0,0,0
60,0,0,0
70,0,0,0
80,0,0,0
90,0,0,0
100,0,0,0
110,0,0,0
120,0,0,0
130,0,0,0
140,0,0,0
150,0,0,0
160,0,0,0
170,0,0,0
180,0,0,0
190,0,0,0
200,0,0,0
210,0,0,0
220,0,0,0
230,0,0,0
240,0,0,0
250,0,0,0
260,0,0,0
270,0,0,0
280,0,0,0
290,0,0,0
300,0,0,0
310,0,0,0
320,0,0,0
330,0,0,0
340,0,0,0
350,0,0,0
360,0,0,0
0,3,0,0
10,3,0,0
20,3,0,0
30,3,0,0
40,3,0,0
50,3,0,0
60,3,0,0
70,3,0,0
80,3,0,0
90,3,0,0
100,3,0,0
110,3,0,0
120,3,0,0
130,3,0,0
140,3,0,0
150,3,0,0
160,3,0,0
170,3,0,0
180,3,0,0
190,3,0,0
200,3,0,0
210,3,0,0
220,3,0,0
230,3,0,0
240,3,0,0
250,3,0,0
260,3,0,0
270,3,0,0
280,3,0,0
290,3,0,0
300,3,0,0
310,3,0,0
320,3,0,0
330,3,0,0
340,3,0,0
350,3,0,0
360,3,0,0
0,6,0,0
10,6,0,0
20,6,0,0
30,6,0,0
40,6,0,0
50,6,0,0
60,6,0,0
70,6,0,0
80,6,0,0
90,6,0,0
100,6,0,0
110,6,0,0
120,6,0,0
130,6,0,0
140,6,0,0
150,6,0,0
160,6,0,0
170,6,0,0
180,6,0,0
190,6,0,0
200,6,0,0
210,6,0,0
220,6,0,0
230,6,0,0
240,6,0,0
250,6,0,0
260,6,0,0
270,6,0,0
280,6,0,0
290,6,0,0
300,6,0,0
310,6,0,0
320,6,0,0
330,6,0,0
340,6,0,0
350,6,0,0
360,6,0,0
0,9,0,0
10,9,0,0
20,9,0,0
30,9,0,0
40,9,0,0
50,9,0,0
60,9,0,0
70,9,0,0
80,9,0,0
90,9,0,0
100,9,0,0
110,9,0,0
120,9,0,0
130,9,0,0
140,9,0,0
150,9,0,0
160,9,0,0
170,9,0,0
180,9,0,0
190,9,0,0
200,9,0,0
210,9,0,0
220,9,0,0
230,9,0,0
240,9,0,0
250,9,0,0
260,9,0,0
270,9,0,0
280,9,0,0
290,9,0,0
300,9,0,0
310,9,0,0
320,9,0,0
330,9,0,0
340,9,0,0
350,9,0,0
360,9,0,0
0,12,0,0
10,12,0,0
20,12,0,0
30,12,0,0
40,12,0,0
50,12,0,0
60,12,0,0
70,12,0,0
80,12,0,0
90,12,0,0
100,12,0,0
110,12,0,0
120,12,0,0
130,12,0,0
140,12,0,0
150,12,0,0
160,12,0,0
170,12,0,0
180,12,0,0
190,12,0,0
200,12,0,0
210,12,0,0
220,12,0,0
230,12,0,0
240,12,0,0
250,12,0,0
260,12,0,0
270,12,0,0
280,12,0,0
290,12,0,0
300,12,0,0
310,12,0,0
320,12,0,0
330,12,0,0
340,12,0,0
350,12,0,0
360,12,0,0
0,15,0,0
10,15,0,0
20,15,0,0
30,15,0,0
40,15,0,0
50,15,0,0
60,15,0,0
70,15,0,0
80,15,0,0
90,15,0,0
100,15,0,0
110,15,0,0
120,15,0,0
130,15,0,0
140,15,0,0
150,15,0,0
160,15,0,0
170,15,0,0
180,15,0,0
190,15,0,0
200,15,0,0
210,15,0,0
220,15,0,0
230,15,0,0
240,15,0,0
250,15,0,0
